epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,184.915,0.81708,0.48529,0.95305,1,0.98355,0.99476,0.826,0.73271,0.45159,0.96574,8.92e-05,8.92e-05,8.92e-05
94,186.606,0.88225,0.54007,1.00631,1,0.98354,0.99476,0.83878,0.7113,0.44834,0.95681,7.93e-05,7.93e-05,7.93e-05
95,188.346,0.84929,0.50891,0.99197,1,0.98449,0.99476,0.85353,0.70305,0.45087,0.95199,6.94e-05,6.94e-05,6.94e-05
96,190.122,0.83999,0.48557,0.96514,1,0.98506,0.99476,0.84476,0.72702,0.45258,0.95583,5.95e-05,5.95e-05,5.95e-05
97,191.818,0.84324,0.51435,0.97065,1,0.98529,0.99476,0.85135,0.73988,0.45573,0.9593,4.96e-05,4.96e-05,4.96e-05
98,193.493,0.80941,0.48301,0.95927,1,0.98586,0.99476,0.84643,0.74591,0.45689,0.96051,3.97e-05,3.97e-05,3.97e-05
99,195.158,0.83335,0.48936,0.98436,1,0.98621,0.99476,0.84687,0.74198,0.45703,0.95946,2.98e-05,2.98e-05,2.98e-05
100,196.827,0.77562,0.47762,0.95203,1,0.98738,0.99476,0.84942,0.7226,0.44963,0.95407,1.99e-05,1.99e-05,1.99e-05
1,2.46872,3.44066,6.144,2.43149,0,0,0,0,3.26127,5.6909,2.56011,0.09604,4e-05,4e-05
2,3.90486,3.23039,5.72858,2.22078,0.00025,0.075,0.00014,4e-05,3.2914,4.25445,2.30263,0.0910891,8.9109e-05,8.9109e-05
3,5.34432,2.42052,3.87752,1.43124,0.00025,0.075,0.00014,4e-05,2.78584,4.11755,1.91746,0.0861372,0.000137228,0.000137228
4,6.68742,2.24137,2.49091,1.29649,0.00025,0.075,0.00014,4e-05,2.60255,3.8921,1.84045,0.0811844,0.000184357,0.000184357
5,7.94893,2.04549,2.0783,1.27125,1,0.5,0.75,0.36098,2.16161,3.79945,1.41711,0.0762305,0.000230496,0.000230496
6,9.2291,1.8667,1.69982,1.2465,0.91525,0.675,0.81985,0.34985,2.08453,3.78225,1.41051,0.0712756,0.000275645,0.000275645
7,10.5458,1.88083,1.45901,1.26161,0.82432,0.7625,0.85331,0.40554,1.69189,3.7636,1.25344,0.0663198,0.000319804,0.000319804
8,11.8638,1.8143,1.27542,1.29422,0.86842,0.825,0.89371,0.35046,1.63097,3.81302,1.27953,0.061363,0.000362973,0.000362973
9,13.1905,1.86512,1.34157,1.30851,0.71429,0.875,0.89689,0.34822,1.61201,3.78805,1.26571,0.0564052,0.000405152,0.000405152
10,14.4839,1.70624,1.23328,1.23924,0.75,0.8625,0.89295,0.38835,1.58775,3.71417,1.2688,0.0514463,0.000446341,0.000446341
11,15.7629,1.7476,1.14501,1.25539,0.51095,0.875,0.83378,0.41975,1.52404,3.34607,1.24337,0.0464865,0.00048654,0.00048654
12,17.0688,1.56498,1.11544,1.18592,0.47297,0.875,0.76289,0.38242,1.61963,3.25833,1.27931,0.0415257,0.000525749,0.000525749
13,18.3082,1.67976,1.12765,1.22655,0.54412,0.925,0.88588,0.37184,1.56571,3.35087,1.27477,0.036564,0.000563968,0.000563968
14,19.565,1.68332,1.22788,1.21944,0.55906,0.8875,0.83485,0.42496,1.51982,3.34287,1.22841,0.0316012,0.000601197,0.000601197
15,20.864,1.48415,1.06999,1.1326,0.58772,0.8375,0.82233,0.46644,1.75845,3.16599,1.346,0.0266374,0.000637436,0.000637436
16,22.126,1.53174,1.12935,1.18793,0.552,0.8625,0.84856,0.50541,1.62415,2.82867,1.30505,0.0216727,0.000672685,0.000672685
17,23.414,1.65649,0.95936,1.21679,0.5036,0.875,0.84075,0.41419,1.92052,2.67896,1.45619,0.0167069,0.000706944,0.000706944
18,24.7436,1.55098,1.06448,1.18686,0.93447,0.65,0.86604,0.39186,2.03394,2.12826,1.58375,0.0117402,0.000740213,0.000740213
